151,Kyrie eleison (Lord have mercy),"[Lord, have mercy]",,,
152,"Lord, have mercy","[Lord, have mercy]",,,
153,"Nkosi, Nkosi (Lord, have mercy)","[Lord, have mercy]",,,
154,"Lord, have mercy","[Lord, have mercy]",,,
155,Kyrie eleison (Lord have mercy),"[Lord, have mercy]",,,
156,"Lord, have mercy","[Lord, have mercy]",,,
157,"Lord, have mercy","[Lord, have mercy]",,,
158,"Lord, have mercy","[Lord, have mercy]",,,
159,"Holy God, holy and mighty","[Holy God, holy and mighty]",,,
160,"Holy, holy, holy God, holy and mighty","[Holy, holy, holy God]",,,
161,"Holy God, holy and mighty","[Holy God, holy and mighty]",,,
162,Glory to God in the highest,[Glory to God in the highest],,,
163,Glory to God in the highest,[Glory to God in the highest],,,
164,"Glory to God, glory to God, glory in the highest","[Glory to God, glory to God]",,,
165,Worthy is Christ the Lamb who was slain,[Worthy is Christ the Lamb who was slain],,,
166,Worthy is Christ the Lamb who was slain,[Worthy is Christ the Lamb who was slain],,,
167,Now is the feast of the Lamb once slain,[Now is the feast of the Lamb once slain],,,
168,"Lord, to whom shall we go?","[Lord, to whom shall we go]",,,
169,"Speak, O Lord, your servant is listening","[Speak, O Lord, your servant is listening]",,,
170,Lord to whom shall we go?,"[Lord, to whom shall we go]",,,
171,"Heleluyan, heleluyan (Hallelujah, hallelujah)","[Heleluyan, heleluyan]",,,
172,"Halle, halle, hallelujah","[Halle, halle, hallelujah]",,,
173,"Lord , to whom shall we go?","[Lord, to whom shall we go]",,,
174,"Alleluia, alleluia","[Alleluia, alleluia]",,,
175,"Alleluia, alleluia, alleluia","[Alleluia, alleliua, alleluia]",,,
176,"Let your steadfast love come to us, O Lord","[Let your steadfast love come to us, O Lord]",,,
177,"Glory to you, O Word of God","[Glory to you, O Word of God]",,,
178,"Hear our prayer, hear our prayer, Lord, make us whole","[Hear our prayer, hear our prayer]",,,
179,"O Lord, hear our prayer we offer up to you","[O Lord, hear our prayer we offer up to you]",,,
180,The Spirit intercedes for us,[The Spirit intercedes for us],,,
181,"Let the vineyards be fruitful, Lord","[Let the vineyards be fruitful, Lord]",,,
182,"Let the vineyards be fruitful, Lord","[Let the vineyards be fruitful, Lord]",,,
183,"Let the vineyards be fruitful, Lord","[Let the vineyards be fruitful, Lord]",,,
184,"Let the vineyards be fruitful, Lord","[Let the vineyards be fruitful, Lord]",,,
185,"Create in me a clean heart, O God","[Create in me a clean heart, O God]",,,
186,"Create in me a clean heart, O God","[Create in me a clean heart, O God]",,,
187,"Create in me a clean heart, O God","[Create in me a clean heart, O God]",,,
188,"Create in me a clean heart, O God","[Create in me a clean heart, O God]",,,
189,"Holy, holy, holy Lord","[Holy, holy, holy, Lord]",,,
190,"Holy, holy, holy Lord","[Holy, holy, holy, Lord]",,,
191,"Holy, holy, holy are you","[Holy, holy, holy are you]",,,
192,"Holy, holy, holy Lord","[Holy, holy, holy Lord]",,,
193,"holy, holy, holy Lord","[Holy, holy, holy Lord]",,,
194,"Agnus Dei, qui tollis peccata mundi (Lamb of God, you take away the sin of the world)",[Lamb of God],,,
195,"Lamb of God, you take away the sin of the world",[Lamb of God],,,
196,"O Christ, Lamb of God, you take away the sin of the world","[O Christ, Lamb of God]",,,
197,"Oi, Jumalan karitsa, ioka pois otat maaliman synnin (O Lamb of God, you take away the sin of the world)",[O Lamb of God],,,
198,"O Lamb of God, you take away the sin of the world",[O Lamb of God],,,
199,"Jesus, Lamb of God, have mercy on us","[Jesus, Lamb of God]",,,
200,"Now, Lord, you let your servant go in peace","[Now, Lord, you let your servant go in peace]",,,
201,"Now, Lord, you let your servant go in peace","[Now, Lord, you let your servant go in peace]",,,
202,Free to go in peace as you have promised,[Free to go in peace as you have promised],,,
203,"Ahora, Señor, según tu promesa (At last, Lord, your word of promise fulfilling)","[At last, Lord, your word of promise fulfilling]",,,
204,Thankful hearts and voices raise,[Thankful hearts and voices raise],,,
205,Thankful hearts and voices raise,[Thankful hearts and voices raise],,,
206,Thankful hearts and voices raise,[Thankful hearts and voices raise],,,
207,Thankful hearts and voices raise,[Thankful hearts and voices raise],,,
208,"Praise to you, O God of mercy","[Praise to you, O God of mercy]",,,
209,"Blessed be God, the source of all life","[Blessed be God, the source of all life] (Harbor)",,,
210,"Blessed be God, the source of all life","[Blessed be God, the source of all life]",,,
211,You have put on Christ,[You have put on Christ],,,
212,You belong to Christ,[You belong to Christ],,,
213,You belong to Christ,[You belong to Christ],,,
214,Buried with Christ in death,[Buried with Christ in death],,,
215,"Blessed be God, who chose you in Christ","[Blessed be God, who chose you in Christ]",,,
216,"Praise to you, O Christ","[Praise to you, O Christ]",,,
217,May the God of all grace,[May the God of all grace],,,
218,You anoint my head with oil,[You anoint my head with oil],,,
219,Healer of boundless compassion,[Healer of boundless compassion],,,
220,May the God of all healing enfold us in love,[May the God of all healing enfold us in love],,,
221,"Blessed be God, who forgives all our sins","[Blessed be God, who forgives all our sins]",,,
222,Into paradise may the angels lead you,[Into paradise may the angels lead you],,,
223,All of us go down to the dust,[All of us go down to the dust],,,
224,"Come, let us sing to the Lord","[Come, let us sing to the Lord]",,,
225,"Come, let us sing to the Lord","[Come, ring out your joy to the Lord]",,,
226,"Blessed are you Lord, the God of Israel","[Blessed are you, Lord, the God of Israel]",,,
227,"We praise you, O God, we acclaim you as Lord","[We praise you, O God, we acclaim you as Lord]",,,
228,"We praise you, O God, we acclaim you as Lord","[We praise you, O God, we acclaim you as Lord]",,,
229,Joyous light of glory,[Joyous light of glory],,,
230,Jesus Christ our Savior,[Jesus Christ our Savior],,,
231,O gracious Light,[O gracious Light],,,
232,"O God, I call to you",[Let my prayer rise up like incense before you],,,
233,"O Lord, I call to you","[O Lord, I call to you]",,,
234,My soul proclaims the greatness of the Lord,[My soul proclaims the greatness of the Lord],,,
235,My soul proclaims the greatness of the Lord,[My soul proclaims the greatness of the Lord],,,
236,"Magnificat, magnificat","[Magnificat, magnificat]",,,
237,"Lord, have mercy. Lord, have mercy","[Lord, have mercy. Lord have mercy]",,,
238,"Lord, have mercy. Lord, have mercy","[Lord, have mercy. Lord have mercy]",,,
239,Hark the glad sound! The Savior comes,CHESTERFIELD,,,
240,Light one candle to watch for Messiah,TIF IN VELDELE,,,
241,"O Lord, how shall I meet you",WIE SOLL ICH DICH EMPFANGEN,,,
242,"Awake! Awake, and greet the new morn","REJOICE, REJOICE",,,
243,Lost in the night do the people yet languish,LOST IN THE NIGHT,,,
244,"Rejoice, rejoice, believers",HAF TRONES LAMPA FÄRDIG,,,
245,Creator of the stars of night,CONDITOR ALME SIDERUM,,,
246,Hark! A thrilling voice is sounding!,MERTON,,,
247,"Ososŏ, ososŏ (Come now, O Prince of peace)",OSOSŎ,,,
248,"People, look east The time is near",BESANÇON,,,
249,On Jordan's bank the Baptist's cry,PUER NOBIS,,,
250,Blessed be the God of Israel,FOREST GREEN,,,
251,"My soul proclaims your greatness, Lord",KINGSFOLD,,,
252,Each winter as the year grows older,CAROL OF HOPE,,,
253,He came down that we may have love,HE CAME DOWN,,,
254,"Come, thou long-expected Jesus",JEFFERSON,,,
255,There's a voice in the wilderness crying,ASCENSION,,,
256,"Comfort, comfort now my people",FREU DICH SEHR,,,
257,"O come, O come, Emmanuel","VENI, EMMANUEL",,,
258,Unexpected and mysterious,ST. HELENA,,,
259,"Fling wide the door, unbar the gate",MACHT HOCH DIE TÜR,,,
260,The King shall come when morning dawns,CONSOLATION,,,
261,As the dark awaits the dawn,LUCENT,,,
262,"Wait for the Lord, whose day is near",WAIT FOR THE LORD,,,
263,"Savior of the nations, come","NUN KOMM, DER HEIDEN HEILAND",,,
